TID,KR,EN,CN,JP,PLD,TW,IND
freeDiamondMsg,%s %d다이아를 획득했습니다,%s %dDiamonds obtained,,,,,
receiveMail,받은편지,inbox,,,,,
receiveMailFail,우편 아이템 획득에 실패하였습니다.,Failed to recieve attached Item.,,,,,
sendMail,보낸편지,sent mail,,,,,
sendMailFail,편지 보내기를 실패 하였습니다.,Failed send messages.,,,,,
writeMail,편지쓰기,write a mail,,,,,
allReceiveMail,모두받기,receive all,,,,,
expired,보관기간 만료,Storage period expired,,,,,
emptyTableView,데이터가 없습니다.,No data.,,,,,
remainTime,남은 보관기간,storage time\nRemaining,,,,,
mailD,%d일,%dDays,,,,,
mailH,%d시간,%dHrs,,,,,
mailM,%d분,%Mins,,,,,
mailDeleteMsg,선택한 편지를 삭제하시겠습니까?(%d개 선택)\n*첨부된 아이템도 삭제가 됩니다.,Do you want to delete the selected Mail?(%d Selected)\n* Attached item will also be deleted.,,,,,
reMail,답장,Reply,,,,,
mailBlock, '%s'의 편지를 차단 하시겠습니까?,Block '%s' 's messages?,,,,,
mailBlockSuccess, '%s'의 편지를 수신차단 하였습니다.,Failed blocking '%s' 's messages.,,,,,
mailBlockFail, '%s'의 편지를 수신차단 실패 하였습니다.,Blocked '%s' 's messages.,,,,,
appNewVersion,앱스토어에서 신규버전으로 다운받아주세요.,Please download a new version from the App Store.,,,,,
//출석체크,,,,,,,
attendanceTitle,매일 매일 출석 체크,Every Day Attendance,,,,,
attendanceTitle2,매일 출석하고 더 많은 선물을 받으세요!,Daily attendance and get more gift!,,,,,
attendanceAnnualDayTitle,최근1년 출석일수,Recent 365 days,,,,,
attendanceAnnualDay,%d일,%dDay,,,,,
attendanceDayTitle,%d월 출석일수,Monthly - %s,,,,,
attendanceDay,%d일,%dDay,,,,,
attendaceDes1,※ 보상은 우편함으로 발송됩니다.,※ Reward will be sent to the mailbox.,,,,,
attendaceDes2,※ 매월 1일 초기화 됩니다.,※ It is initialized on every 1st day of the month.,,,,,
attendanceWeb,드빌.net 출석,Web Attendance,,,,,
attendanceWebInfo,홈페이지에서 우측 상단의 다이아를 누르면\n게임 보상을 획득할수 있습니다.,You can obtain in-game reward\nby clicking diamond button at top of web page.,,,,,
attendanceNewbieTitle,신규유저 출석 선물,New account present,,,,,
attendanceOldbieTitle,복귀유저 출석 보상,Inactive user return reward,,,,,
attendanceEggS,S 등급 드래곤 알,S class egg,,,,,
attendanceEggSS,SS 등급 드래곤 알,SS class egg,,,,,
attendanceChooseTitle,출석 선물로 원하는 드래곤을 선택하세요,Choose a dragon you want as reward,,,,,
eggSelectAlert,%s를 선택합니다.,Choosing %s.,,,,,
chatBlock,채팅차단,Chat Block,,,,,
chatUnBlock,채팅차단 해제,Chat Unblock,,,,,
lightSelectWarningMsg,이전 전쟁에 (빛)진영을 선택했습니다.\n다른진영을 선택해주세요!!!,Chose in the previous war (light) faction.\nPlease select a different camp !!!,,,,,
drakSelectWarningMsg,이전 전쟁에 (어둠)진영을 선택했습니다.\n다른진영을 선택해주세요!!!,Chose in the previous war (Dark) faction.\nPlease select a different camp !!!,,,,,
warSideSelectResult,%s이 선택되었습니다.,%s has been selected.,,,,,
element1to2,"속성카드 1단계 x5를 2단계 x1로 변환합니다.\n(카드 1장 변환 당 10,000 골드 소모)","Convert Grade-1x5 Element cards into Grade-2x1 Element card?\n(Cost : 10,000 gold per card)",,,,,
element2to3,"속성카드 2단계 x5를 3단계 x1로 변환합니다.\n(카드 1장 변환 당 10,000 골드 소모)","Convert Grade-2x5 Element cards into Grade-3x1 Element card?\n(Cost : 10,000 gold per card)",,,,,
incubatorSelect,부화기를 선택해주세요!!,select the incubators!!,,,,,
itemCollectionTradeTitle,아이템 교환소,Item exchange,,,,,
conquestLabel,정복자,conqueror,,,,,
conquest2,정복,conquest,,,,,
conquestNot,정복자 없음,No conqueror,,,,,
conquesting,정복중,Being conquered,,,,,
conquestExit,나가기,exit,,,,,
conquestEndMsg,정복 랭킹 포인트는 우편함으로 매주 수요일 지급됩니다.,Gained Conquest Rank Points every Wednesday into your mailbox.,,,,,
dungeonConquestRankingReset,※정복자 랭킹은 매주 수요일 초기화됩니다.정복전은 목요일~화요일까지 입니다.,※ Conqueror ranking is initialized every Wednesday. The former was conquered by Thursday ~ Tuesday.,,,,,
conquestWait,정복대기시간,Conquest Wait Time,,,,,
conquestEnd,정복종료시간,Conquest End Time,,,,,
rankingPoint,랭킹포인트 %d,Ranking Point %d,,,,,
conqestBlockMsg,정복대기시간 입니다.\n잠시후 이용해주세요!,The conquest of wait time.\nPlease use after a while!,,,,,
//왕궁방어전,,,,,,,
useCrystalMsg,<red>%s</red>x%d를 <red>%s</red>x%d으로\n변경하시겠습니까?(다이아%d개가 소모됩니다),Do you want to trade <red>%s</red> x%d for an <red>%s</red> x%d?\n(Requires %d diamonds).,,,,,
crystalShortage,개수가 부족합니다.,Not enough Crystal,,,,,
castleDefenseRankTitle,순위보상정보,Rank Reward Information,,,,,
castleDefenseExplain,전투 1회 이상 참여해야 보상을 받을 수 있습니다.,"Battle participate more than once, you should be rewarded.",,,,,
castleDefensePoint,획득점수%s점,points %s,,,,,
castleDefenseWallExplain,드래곤의 능력치가\n%d%% 증가합니다.,Dragon's ability \n to increase the %d%%.,,,,,
castleDefenseTowerExplain,초기 몬스터 공격\n초기 데미지 %d증가,Initial monsters \n%d increase\nthe initial damage,,,,,
castleDefenseUpgradeShortage,재료가 부족합니다.,Items not enough,,,,,
castleDefenseReset,초기화,Reset,,,,,
castleDefenseResetTitle,왕궁 방어전 초기화,Castle Defense Reset,,,,,
castleDefenseResetMsg,"다이아를 사용해서 왕궁방어전\n몬스터 레벨1초기화, 랭킹 초기화를 하시겠습니까?\n%d다이아 소모","Use the diamond, the initialization of the Imperial Palace defensive \n Monster Level 1, you sure you want to initialize the rankings? \n%d diamond consumption",,,,,
mon,월,Mon.,,,,,
tues,화,Tue.,,,,,
wedns,수,Wed.,,,,,
thurs,목,Thu.,,,,,
fri,금,Fri.,,,,,
castleDefenseRankComment1,내순위,My Rank,,,,,
castleDefenseRankComment2,%d위 %d점,No.%d  %dpoints,,,,,
castleDefenseEnergyChargeTitle,왕궁 방어전 피로도,Castle Defense Energy,,,,,
castleDefenseEnergyChargeMsg,다이아를 사용해서 왕궁방어전\n피로도%d을 충전 하시겠습니까?\n%d다이아 소모,By using diamond castle defense \nAre you sure you want to charge for fatigue %d? \n%d diamond consumption,,,,,
castleDefenseWarning,"토요일, 일요일에는 왕궁방어전을 참여 할 수 없습니다.",Saturday and Sunday will not be able to participate in the castle defense.,,,,,
castleDefensePointLabel,왕궁방어전 점수,CastleDefense Point,,,,,
friendDragonMsg,친구드래곤 %d마리\n%d 골드 소모\n※친구드래곤은 5마리까지 선택가능합니다. ,Friends Dragon %d\n%d gold consumption\n※ You can select to a friend Dragon 5.,,,,,
friendDragonWarningMsg,친구드래곤은 5마리까지 선택 가능합니다.,You can select to a friend Dragon 5.,,,,,
//누리 카드코드 이벤트,,,,,,,
nuriCardcodeEventMsg1,%s를 %d개 얻었습니다.\n※ 보상은 우편함으로 발송됩니다.,Received %s x%d.\n※ Reward is sent to the mailbox.,,,,,
nuriCardcodeEventMsg2,%s을(를) %d개 얻었습니다.,Received %s x%d.,,,,,
nuriCardcodeEventInfo1,누적 카드코드 40개를 달성,Achieved 40 cardcode collection.,,,,,
nuriCardcodeEventInfo2,누적 카드코드 80개를 달성,Achieved 80 cardcode collection.,,,,,
nuriCardcodeEventInfo3,누적 카드코드 120개를 달성,Achieved 120 cardcode collection.,,,,,
nuriCardcodeEventInfo4,카드코드 드래곤 도감 2마리 이상 보유,Owns 2 or more Cardcode Dragons.,,,,,
nuriCardcodeEventInfo5,카드코드 드래곤 도감 4마리 이상 보유,Owns 4 or more Cardcode Dragons.,,,,,
nuriCardcodeEventInfo6,카드코드 드래곤 도감 8마리 이상 보유,Owns 8 or more Cardcode Dragons.,,,,,
nuriCardcodeEventMsg3,카드캡터 자격증,Card Master License,,,,,
nuriCardcodeEventMsg4,이름 : 누리,Name: Nuri,,,,,
nuriCardcodeEventScenario_1,[%s]!!!! 오랜만이다~!,[%s]!!!! It's been so long~!,,,,,
nuriCardcodeEventScenario_2,요즘 정말 얼굴 보기 힘들었던 누리다. 이 과한 반김은 분명 부탁할게 있는게 분명해.,Haven't seen her for awhile now. This over greeting must mean she has a favor to ask.,,,,,
nuriCardcodeEventScenario_3,있자나... 〉_〈 요즘 내가 드래곤 카드 캡터에 푹~~~ 빠져 있거든,Have you heard of the Card Master License?,,,,,
nuriCardcodeEventScenario_4,드래곤 카드 캡터라면 요즘 엄청난 인기라는 드래곤 카드를 모으는 게임...,Card Master License. It's what everyone's been talking about. Collecting magic cards.,,,,,
nuriCardcodeEventScenario_5,그래서 말인데... 이번에도 혹시 내가 레벨을 올리는데 도와줄 수 없을까?,I have a favor to ask. Could you help me with the leveling up?,,,,,
nuriCardcodeEventScenario_6,응?... 응?? *〉_〈*,Please~~ pretty please~~,,,,,
nuriCardcodeEventScenario_7,으악...누리의 애교라니... 일단 그러겠다고 하자.,Oh no... not again... Let's just say yes.,,,,,
nuriCardcodeEventScenario_8,진짜?!! 정말!?!  꺄아~~ 고마워!,Really!! yeay~~~~!!!,,,,,
nuriCardcodeEventScenario_9,방법은 간단해~ 점술집에 카드 코드만 입력해주면 돼,It's really simple. You just have to input cardcode you have at the fortune teller's shop.,,,,,
nuriCardcodeEventScenario_10,내가 보답은 확실히 하도록 할게!,I'll repay you for sure!!,,,,,
//신년2016 이벤트,,,,,,,
year2016EventSearchMsg1,다음 지역,Next Target,,,,,
year2016EventSearchMsg2,다음 지역을 탐색 중,Searching for next target,,,,,
year2016EventSearchMsg3,x2 지금 찾기,x2 Find Now,,,,,
year2016EventSearchMsg4_1,열혈유저 4명을 구출할 때마다    ,every 4 rescues,,,,,
year2016EventSearchMsg4_2,를 드려요!,will be given,,,,,
year2016EventSearchMsg5_1,현재 구출 수,Rescue Count,,,,,
year2016EventSearchMsg5_2,%d명,%d,,,,,
year2016EventSearchMsg6,다이아 2개를 사용하여 바로 찾으시겠습니까?,Pay 2 Diamonds to find target now?,,,,,
year2016EventSearchMsg7,%d명 -> %s\n%d명 -> %s\n%d명 -> %s\n%d명 -> %s\n%d명 -> %s\n,%d -> %s\n%d -> %s\n%d -> %s\n%d -> %s\n%d -> %s\n,,,,,
year2016EventPresentMsg1,열혈유저를 1명 이상 구출하면 3시간 마다 드빌유저가 선물을 드려요!,Rescue 1 or more enthusiast tamer and receive rewards every 3 hours.,,,,,
year2016EventPresentMsg2,다음 선물 도착까지,Until next reward,,,,,
year2016EventPresentMsg3,x5 랜덤 뽑기,x5 One more draw,,,,,
year2016EventPresentMsg4,x10 모두 뽑기,x10 Take all,,,,,
year2016EventPresentMsg5,다이아 5개를 사용하여 랜덤으로 한 개를 뽑으시겠습니까?,Pay 5 Diamonds to draw another reward?,,,,,
year2016EventPresentMsg6,다이아 10개를 사용하여 모두 뽑으시겠습니까?,Pay 10 Diamonds to draw all rewards?,,,,,
year2016EventRankMsg1,GM 처치 수,GM Beaten,,,,,
year2016EventScenario_1,[%s] 도와줘!,[%s]!!!! Help!,,,,,
year2016EventScenario_2,???? (누구지?),????(Who is it?),,,,,
year2016EventScenario_3,"못된 GM이 마구잡이로 영정을 주고 있어. 빨리, 빨리 도와줘!!",Vicious GM is giving out permanant ban to everyone! Hurry! Help us now!,,,,,
year2016EventScenario_4,(퍽!),(SPLASH!),,,,,
year2016EventScenario_5,아니. 버그 이용하고 그래서 영정 먹고 있는 거 아니야?,Maybe you are getting restricted because you have used bug or something!,,,,,
year2016EventScenario_6,누리 말이 맞아. 잘생긴 GM이 그냥 막 영정을 줄 리가 없어.,Nuri is right. Our handsome GM would not ban you without any reason.,,,,,
year2016EventScenario_7,듣고 보니 누리 말이 맞다...,Ah... sounds resonable,,,,,
year2016EventScenario_8,아... 진짜.,Oh... well..,,,,,
year2016EventScenario_9,나 5년 드빌유저인데 그냥 지우고 내일부터 다른 게임을 할까봐.,I am 5th year DV player but... I will just find another game to play then.,,,,,
year2016EventScenario_10,"(아니아니, 이건 아니지)",(No no... this ain't good),,,,,
year2016EventScenario_11,미안해 드빌유저야. 내가 귀가 얇아서 누리 말에 홀랑 넘어갔네.,I am sorry. I was deceived by Nuri's words.,,,,,
year2016EventScenario_12,그래. 아무튼 우리는 평화롭게 희망의 숲에서 탐험을 즐기고 있었어.,"Anyway, we were peacefully exploring the Forest of Hope.",,,,,
year2016EventScenario_13,그런데 갑자기 GM이 나타나서 사악하게 웃으며 한 명씩 영정을 주기 시작하는거야.,But suddenly GM started to laugh viciously and gave out permanent restriction one by one!,,,,,
year2016EventScenario_14,이대로라면 열혈유저 전체가 영정을 먹고 아무도 드빌을 못 할 수도 있어.,"If we don't stop him, everyone will get permanent restriction and no one could play Dragonvillage after all.",,,,,
year2016EventScenario_15,억울한 우리들을 빨리 구해줘!,Help us now. Please protect us!,,,,,
year2016EventScenario_16,그래 지금 바로 희망의 숲으로 가보자,Alright. Let's go see what's going on.,,,,,
//추석2016 이벤트,,,,,,,
chuseok2016EventMsg1,복주머니,Lucky Bag,,,,,
chuseok2016EventMsg2,포인트,Point,,,,,
chuseok2016EventMsg3,일정,Schedule,,,,,
chuseok2016EventMsg4,포인트 :,Points :,,,,,
chuseok2016EventMsg5,열기,Open,,,,,
chuseok2016EventMsg6,"하단 게이지는 매일 초기화 되며, 적립된 포인트는 사라지지 않고 누적됩니다.","The guage is initialized daily, but the acquired points are accumulated.",,,,,
chuseok2016EventMsg7,거래게시판,Trading forum,,,,,
chuseok2016EventMsg8,복주머니,Lucky Bag,,,,,
chuseok2016EventMsg9,결제 시\n황금 다이아 2배,Upon purchase\n2 x Golden Diamonds,,,,,
chuseok2016EventMsg10,이클리프 주사위\n운 확률 UP,Eclif Dice\nFortune UP,,,,,
chuseok2016EventMsg11,경험치 2배,2X EXP,,,,,
chuseok2016EventMsg12,카드 코드 수집,Collect Card Codes,,,,,
chuseok2016EventMsg13,일일 접속,Daily Log in,,,,,
chuseok2016EventMsg14,꿈의 지역 탐험,Explore Dream region,,,,,
chuseok2016EventMsg15,콜로세움\nSOLO참여,Collosseum\nSOLO participation,,,,,
chuseok2016EventMsg16,콜로세움\nTAG참여,Collosseum\nTAG participation,,,,,
chuseok2016EventMsg17,도전의 전장참여,Challenge field participation,,,,,
chuseok2016EventMsg18,,,,,,,
chuseok2016EventMsg19,이벤트가 종료 되었습니다.,The event has ended.,,,,,
chuseok2016EventMsg20,포인트 및 아이템이 부족합니다.,Not enough points or items.,,,,,
// 복귀유저 이벤트,,,,,,,
returnRewardUITitle,원하는 드래곤을 선택하세요.,Pick your reward dragon.,,,,,
returnRewardUIConfirm,<red>%s</red>을 선택하셨습니다.\n이 보상을 받으시겠습니까?,Do you want to receive <red>%s</red>?,,,,,
// 선인장 퇴치 이벤트,,,,,,,
cactusUI_title,선인장의 습격!!,Cactus Invade!!,,,,,
cactusUI_date,이벤트기간 : %s,Event period : %s,,,,,
cactusUI_gcLeft,선인장을 %d마리 퇴치할 때마다,You will get,,,,,
cactusUI_gcRight,를 드려요!,for every %d cactus defeated.,,,,,
cactusUI_score,퇴치한 선인장,Defeated,,,,,
cactusUI_daily1,일일보상,Daily reward,,,,,
cactusUI_daily2,00:00:00에 초기화됩니다,be reset at 00:00 KST,,,,,
cactusUI_reward1,누적보상 %d단계,Reward no.%d,,,,,
cactusUI_searching,찾는중...,Searching...,,,,,
cactusUI_found,찾았다!!!,Found!!!,,,,,
cactusUI_searchNowLeft,%d,Search now: %d,,,,,
cactusUI_searchNowRight,로 지금 바로 찾기,Instance search,,,,,
cactusUI_searchNowConfirm,다이아 %d 개로 지금 바로 찾으시겠습니까?,Search immediately with %d Diamods.,,,,,
cactusUI_rewardTitle,누적보상 상세보기,Reward detail,,,,,
cactusUI_rewardCount,퇴치 수,Defeated,,,,,
cactusUI_rewardReward,보상,Reward,,,,,
cactusUI_rewardUnit,마리,K,,,,,
cactusUI_rewardDesc0,[의문의 알] x 5,[Random Egg] x 1,,,,,
cactusUI_rewardDesc1,[축복받은 부화기] x 10,[Blessed Incubator] x 10,,,,,
cactusUI_rewardDesc2,다이아 x 10,Diamond x 10,,,,,
cactusUI_rewardDesc3,[레벨 다운] x 5,[Lv - 1] x 5,,,,,
cactusUI_rewardDesc4,[프리미엄 레벨업] x 10,[Prem Lv+1] x 10,,,,,
cactusUI_rewardDesc5,[꿈의 부화기] x 1,[Dream Incubator] x 1,,,,,
cactusUI_rewardDesc6,[다크혼 C]의 알,[Darkhorn C]'s egg,,,,,
cactusUI_rewardDesc7,[다크혼 B]의 알,[Darkhorn B]'s egg,,,,,
cactusUI_rewardDesc8,[다크혼 A]의 알,[Darkhorn A]'s egg,,,,,
cactusUI_rewardDesc9,[다크혼 S]의 알,[Darkhorn S]'s egg,,,,,
cactusUI_rankItemTitle,%위 보상,Ranked %d,,,,,
cactusUI_bandwagon1,SS Lv1 7.0 다크혼 스탯,SS Lv1 Darkhorn 7.0 Stats,,,,,
cactusUI_bandwagon2,HP %d / ATK %d / DEF %d,HP %d / ATK %d / DEF %d,,,,,
cactusUI_bandwagon3,(상승폭 HP %d / ATK %d / DEF %d),(growth HP %d / ATK %d / DEF %d),,,,,
cactusUI_findLabel,찾기,FIND,,,,,
cactusFight_dodge,회피율,Dodge,,,,,
cactusFight_itemName1,"<yellow>쥐덫</yellow>  <lightblue>(회피 -%d%%, 전투 턴 +%d)</lightblue>","<yellow>Mouse Trap</yellow>  <lightblue>(dodge -%d%%, turns +%d)</lightblue>",,,,,
cactusFight_itemDesc1,쥐를 잡는 덫. 쥐 정도밖에 못잡는 물건이라 효과가 거의 없다.,Trap for catching mouse. Not very effective to cactus.,,,,,
cactusFight_itemStat1,(전투 턴 +%d),(turns +%d),,,,,
cactusFight_itemName2,"<yellow>사냥 덫</yellow>  <lightblue>(회피 -%d%%, 전투 턴 +%d)</lightblue>","<yellow>Hunting Trap</yellow> <lightblue>(dodge -%d%%, turns +%d)</lightblue>",,,,,
cactusFight_itemDesc2,동물을 잡는 덫. 그래서 그런지 식물에게는 효과가 약하다.,Trap for hunting animals. Not very effective to the plants.,,,,,
cactusFight_itemStat2,"(회피 -%d%%, 전투 턴 +%d)","(dodge -%d%%, turns +%d)",,,,,
cactusFight_itemName3,"<yellow>강력한 끈끈이</yellow>  <lightblue>(회피 -%d%%, 전투 턴 +%d)</lightblue>","<yellow>Sticky trap</yellow> <lightblue>(dodge -%d%%, turns +%d)</lightblue>",,,,,
cactusFight_itemDesc3,끈적한 액체. 뿌려놓으면 꽤 효과가 좋을 것 같다.,Sticky liquid. Looks effective.,,,,,
cactusFight_itemStat3,"(회피 -%d%%, 전투 턴 +%d)","(dodge -%d%%, turns +%d)",,,,,
cactusFight_itemName4,"<yellow>농약</yellow>  <lightblue>(회피율 -%d%%, 전투 턴 +%d)</lightblue>","<yellow>Pesticide</yellow>  <lightblue>(dodge -%d%%, turns +%d)</lightblue>",,,,,
cactusFight_itemDesc4,한 방이다. 도주 의욕을 잃게 만들어 전투를 오래 지속할 수 있다.,Masterpiece. Peticide reduces cactus's will to run away so you can have little more time.,,,,,
cactusFight_itemStat4,"(회피율 -%d%%, 전투 턴 +%d)","(dodge -%d%%, turns +%d)",,,,,
cactusFight_itemUse,사용하기,Use,,,,,
cactusFight_itemGold,%d 골드를 지불하고 아이템을 사용하시겠습니까?,Do you want to pay %d gold to use item?,,,,,
cactusFight_itemDia,%d 다이아를 지불하고 아이템을 사용하시겠습니까?,Do you want to pay %d diamonds to use item?,,,,,
cactusEventTutorial_1,[%s]! 소문 들었어? [걷는 선인장]이란 녀석이 요즘 유타칸에 출몰하는 모양이야.,[%s]! Have you heard? [Walking Cactus] has appeared in Utahkhan.,,,,,
cactusEventTutorial_2,[걷는 선인장]? 선인장이 걸어다닌다구?,[Walking Cactus]? Do you mean cactus has feet?,,,,,
cactusEventTutorial_3,그래! 그 나쁜 녀석이 내 백옥같은 피부를 찌르고 도망쳤다구!,Yes! That little punk poked my beautiful silky skin and ran away!,,,,,
cactusEventTutorial_4,선인장에 갑자기 얼굴과 팔다리가 생기더니 사람들을 찌르고 다닌다는데?,People says cactus with face and limbs suddenly appeared and poking people everywhere!,,,,,
cactusEventTutorial_5,나뿐만 아니라 찔린 사람들의 피해가 제법 많은가봐. 물론 내 아름다운 피부에 상처를 입힌 피해가 제일 심각하지만!,I am not the only victim here. Of course my skin got the most damage ...!!,,,,,
cactusEventTutorial_6,"세상에, 그런 선인장이 있단 말이야?",Is that true ? Are you sure?,,,,,
cactusEventTutorial_7,거기다 누리를 찌른 선인장을 봤는데 정말 믿기지가 않는 속도로 움직이더라. 누리는 찔릴 때까지 전혀 몰랐던걸?,I saw a cactus who poked Nuri and that cactus was so fast. Nuri could not recognize that cactus until she got poked!,,,,,
cactusEventTutorial_8,으아악! 생각할수록 짜증나네! 난 이 괘씸한 선인장들을 때려잡으러 가야겠어! 그럼 다음에 봐!,Arggggg!!! I can not forgive them!! I wil l go get these punk cactus! I will catch you later!,,,,,
cactusEventTutorial_9,[선인장 탐지기]를 사용하면 선인장이 숨어있는 곳이 표시됩니다. 숨어있는 선인장을 물리치세요.,You can locate cactus by using [Cactus finder]. Defeat all of the cactus.,,,,,
cactusEventTutorial_10,탐험 중에도 낮은 확률로 발견할 수 있으니 선인장을 사냥하고 다양한 보상을 얻어보세요.,Cactus appears with very low chance during adventure. Defeat cactus and receive various rewards!,,,,,
// 어린이날 이벤트,,,,,,,
childrensDayEventTutorial_1,드디어 빛의 축제가 시작되었어!,"Finally, the Festival of Lights started!",,,,,
childrensDayEventTutorial_2,벌써 2020년 빛의 축제가 되었구나!,Fesival is back! Hooray!,,,,,
childrensDayEventTutorial_3,그래 맞아 빛의 신 아모르님을 모시는 축제가 시작됬어.,"The festival begins to celebrate the God of Light, Amorru.",,,,,
childrensDayEventTutorial_4,드디어 올해도 시작되었군. 올해 최강의 테이머는 내가 되겠어!,It started this year too. I'll be the best tamer this year!,,,,,
childrensDayEventTutorial_5,욕심이 과한데? 날 재치고 하겠다는거야?,Forget it. Are you trying to beat me up?,,,,,
childrensDayEventTutorial_6,누리 넌 별로 강한 드래곤도 없잖아.,"Nuri, you don't even have a strong dragon.",,,,,
childrensDayEventTutorial_7,난 가끔 즈믄이 입 좀 다물었으면 하는 바람이 있어,I sometimes wish Zimon would shut up.,,,,,
childrensDayEventTutorial_8,"우, 웃으면서 그런말 하지 마! 무섭잖아!","Oh, don't laugh and say that! Scary!",,,,,
childrensDayEventTutorial_9,어쨌든 올해 축제도 화려하게 진행하겠네.,"Anyway, this year's festival is going to be very spectacular.",,,,,
childrensDayEventTutorial_10,훌쩍. 콜로세움에 있는 '일반 토너먼트'를 통해 최강의 테이머를 가리나봐.,We will pick the best tamer through 'General Tournament'.,,,,,
childrensDayEventTutorial_11,물론. 게다가 작년과 마찬가지로 상위권에겐 푸짐한 상품을 주지!,"Of course. And like last year, it gives the top tier a generous prize!",,,,,
childrensDayEventTutorial_12,"탐험이나 출석, 콜로세움 등 여러 컨텐츠를 즐기면 선물상자도 받을 수 있고!","You can also receive gift boxes from other contents such as exploration, attendance, and Colosseum!",,,,,
childrensDayEventTutorial_13,상세한 내용은 화면 왼쪽의 이벤트 아이콘을 통해 확인할 수 있어.,"For more information, see the event icon on the left of the screen.",,,,,
childrensDayEventTutorial_14,"자, 이제 축제가 시작되니 너도 즐겨봐! 보물 상자도 열고, 콜로세움도 즐기고!","Well, enjoy yourself now that the festival begins! Open the treasure box and enjoy the Colosseum!",,,,,
childrensDayEventTutorial_15,최강의 테이머는 과연 누구일까? 우리 같이 힘내보자구!,Who Is the best tamer? Let's cheer up!,,,,,
childrensDayEventUI_1_1,빛의 축제 콜로세움 대전,Festival of Light colosseum match,,,,,
childrensDayEventUI_1_2,정보,Info,,,,,
childrensDayEventUI_1_3,규칙,Rules,,,,,
childrensDayEventUI_1_4,규칙 설명,Rule,,,,,
childrensDayEventUI_1_5,1.이벤트 기간 중 전투 시간[오후 5:00 ~ 오후 10:00] 동안 일반 토너먼트 점수를 기록합니다. ,"1. During the battle time (17:00-22:00 GMT+9), GENERAL tournament score is recorded.",,,,,
childrensDayEventUI_1_6,2. 전투시간 동안에는 입장비용이 무료입니다.,2. Admission fee is free,,,,,
childrensDayEventUI_1_7,"3. 점수는 일반 토너먼트 참가시 1점, 8강 승리시 1점, 4강 승리시 1점, 우승시 1점을 획득합니다. [우승자는 총 4점 획득]","3. The score is 1 point for participating, 1 points for advancing to the quarterfinals, 1 points for advancing to the semifinals, and 1 points for winning.",,,,,
childrensDayEventUI_1_71,4. 이벤트가 종료된 후 랭킹에 따라 참가자에게 보상을 지급합니다.,"4. When the event is over, the tamers will be awarded according to their ranking.",,,,,
childrensDayEventUI_1_8,* 순위가 같다면 먼저 달성한 테이머가 우선순위를 가집니다.,"* If the rankings are the same, rewards will be paid on a first-come, first-served basis.",,,,,
childrensDayEventUI_1_9,다이아 5000 + 빛나는 계급장 + 마을 석상 + 드래곤 알 선택권 + 챔피언의 발톱(공격력 +16%),5000 diamonds + Shiny rank badge + town statue + Special dragon ticket\n+ Champion's claw(+16% att),,,,,
childrensDayEventUI_1_10,다이아 2000 + 빛나는 계급장 + 마을 석상 + 드래곤 알 선택권,2000 diamonds + Shiny rank badge + town statue + Special dragon ticket,,,,,
childrensDayEventUI_1_11,다이아 1000 + 빛나는 계급장 + 마을 석상,1000 diamonds + Shiny rank badge + town statue,,,,,
childrensDayEventUI_1_12,다이아 500 + Lv - 1 x100 + 레벨업 x100 + 프리미엄 레벨업 x40,500 diamonds + Lv - 1 x 100 + Lv + 1 x 100 + Premium Lv + 1 x 40,,,,,
childrensDayEventUI_1_13,다이아 400 + Lv - 1 x70 + 레벨업 x70 + 프리미엄 레벨업 x30,400 diamonds + Lv - 1 x 70 + Lv + 1 x 70 + Premium Lv + 1 x 30,,,,,
childrensDayEventUI_1_14,다이아 300 + Lv - 1 x40 + 레벨업 x40 + 프리미엄 레벨업 x20,300 diamonds + Lv - 1 x 40 + Lv + 1 x 40 + Premium Lv + 1 x 20,,,,,
childrensDayEventUI_1_15,다이아 250 + Lv - 1 x30 + 레벨업 x30 + 프리미엄 레벨업 x15,250 diamonds + Lv - 1 x 30 + Lv + 1 x 30 + Premium Lv + 1 x 15,,,,,
childrensDayEventUI_1_16,다이아 200 + Lv - 1 x20 + 레벨업 x20 + 프리미엄 레벨업 x10,200 diamonds + Lv - 1 x 20 + Lv + 1 x 20 + Premium Lv + 1 x 10,,,,,
childrensDayEventUI_1_17,다이아 150 + Lv - 1 x15 + 레벨업 x15 + 프리미엄 레벨업 x5,150 diamonds + Lv - 1 x 15 + Lv + 1 x 15 + Premium Lv + 1 x 5,,,,,
childrensDayEventUI_1_18,다이아 100 + Lv - 1 x10 + 레벨업 x10,100 diamonds + Lv - 1 x 10 + Lv + 1 x 10,,,,,
childrensDayEventUI_1_19,다이아 50 + Lv - 1 x5 + 레벨업 x5,50 diamonds + Lv - 1 x 5 + Lv + 1 x 5,,,,,
childrensDayEventUI_1_20,참여상,Below,,,,,
childrensDayEventUI_1_21,* 전투에 참가하지 않으면 보상을 받을 수 없으니 주의 바랍니다. ,* There is no reward for not participating in the battle.,,,,,
childrensDayEventUI_2_1,빛의 축제 기념 선물상자 이벤트,Festival of Light : Gift box event,,,,,
childrensDayEventUI_2_2,상자,Box,,,,,
childrensDayEventUI_2_3,미션,Point,,,,,
childrensDayEventUI_2_4,상점,Shop,,,,,
childrensDayEventUI_2_5,랭킹,Rank,,,,,
childrensDayEventUI_2_6,보석 결제,Diamond\npurchase,,,,,
